                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2429,                 0.7086,                 1.1207,                0.93985,                0.83488,                 0.8877,                 0.6034,                 1.1696,                0.73534,                 1.0958,               0.000878,               0.000878,               0.000878
                     37,                 1.2715,                0.68802,                 1.1157,                 0.9369,                0.82251,                0.87333,                0.59811,                 1.1465,                0.71813,                 1.0949,               0.000845,               0.000845,               0.000845
                     38,                 1.2219,                0.66939,                 1.1013,                0.95392,                0.86889,                0.92703,                0.64157,                 1.1284,                0.68312,                 1.0831,               0.000812,               0.000812,               0.000812
                     39,                 1.2186,                0.70194,                 1.0834,                0.95124,                0.89549,                0.93931,                0.63527,                 1.1784,                 0.6602,                 1.0888,               0.000779,               0.000779,               0.000779
                     40,                 1.1988,                0.66446,                 1.0859,                0.95456,                0.90971,                0.94491,                0.64845,                 1.1202,                0.61857,                 1.0764,               0.000746,               0.000746,               0.000746
                     41,                 1.1604,                0.63412,                 1.0764,                0.96232,                0.80545,                0.87988,                0.60951,                 1.1843,                0.74217,                  1.104,               0.000713,               0.000713,               0.000713
                     42,                 1.1579,                0.63657,                 1.0707,                0.96915,                0.85034,                0.91418,                0.63937,                 1.1434,                0.66739,                 1.0933,                0.00068,                0.00068,                0.00068
                     43,                 1.1728,                0.63042,                 1.0887,                0.96101,                 0.8726,                0.91704,                0.65145,                 1.0893,                  0.639,                 1.0654,               0.000647,               0.000647,               0.000647
                     44,                 1.1699,                0.62427,                 1.0805,                0.97348,                0.88527,                0.93738,                0.66474,                 1.0834,                0.59954,                 1.0502,               0.000614,               0.000614,               0.000614
                     45,                  1.155,                0.60452,                 1.0577,                0.97032,                0.92826,                0.96737,                0.69124,                 1.0297,                0.55942,                 1.0264,               0.000581,               0.000581,               0.000581
                     46,                 1.1089,                0.62252,                 1.0424,                0.96888,                 0.9196,                0.96021,                0.68946,                 1.0538,                 0.5789,                 1.0388,               0.000548,               0.000548,               0.000548
